abbrev,1980-1989,1990-1999,2000-2009,2010-2019,2020-2029,2030-2039,2040-2049,2050-2059,2060-2069,2070-2079,2080-2089,2090-2099
AL,2.36857695676553,4.09597638945601,5.94909161575722,4.45341440264431,4.88728165465757,4.03679945015871,2.05858116055736,5.1198829332844,3.93483845676306,1.53259775689651,4.451270971873711,1.22812745255521
AR,0.930136301990993,1.08585594247266,1.48132928178585,1.94635883490258,2.34246510632305,2.79587400950018,2.85543416739541,3.93738236877261,3.2302143502653,3.12278143749339,4.08136740742648,3.59774618972447
AZ,1.43300957856572,1.45844301726343,1.43213537845823,1.7271410643949,1.71948232178634,1.91342767468798,1.77081564000287,1.89284516533525,1.76802275128695,1.92544742210953,1.88096561147641,2.07653896028957
CA,4.56254880016264,4.97540955570039,4.93029329462699,5.43113910580365,4.80427436380222,4.4323694916599,4.39352643418973,4.10050892357653,3.16468010874862,2.78943080016619,2.40057658171747,2.31099488928989
CO,3.07758382990317,3.33393327020497,4.38622589450069,4.00505188536269,4.3042720845725,5.94507400661527,4.97745105348518,5.52657469015737,4.57256324723698,4.53560284859204,4.957414598947089,5.56111097583284
DE,0.0149975461164901,0.0082788013678448,0.0073279236558073,0.0075199115786833,0.0055426873482988,0.0042301169856501,0.0038115308451165,0.0050956571445828,0.0036727797408387,0.0034769444971114,0.0038878131921743,0.0029824168222574
FL,3.59356780496973,2.08715232783119,1.70710349516085,2.19788436321288,1.46049785262059,1.4793580621107,1.3828214697265,1.36311462427236,0.950591927224419,0.574838862290007,0.934854264032272,0.810126390838504
GA,4.11169044865441,2.29515681838432,1.98169962799342,2.72296418992619,1.488701250922,1.70960481342861,1.62076253684904,1.52611417601173,1.01710240501559,0.384947555794759,0.435826459892136,0.320704244262739
HI,0.0202913608531251,0.0200837851739643,0.0194889601539382,0.0389218066314825,0.0358984413539788,0.0244211798403078,0.0282488354084039,0.0158952436833761,0.0174219368955288,0.0175992266117171,0.0143774735883313,0.0200747835220378
ID,0.132719495029969,0.125798693204283,0.0826566853715088,0.0681299503261361,0.0530196871109965,0.0528027254643016,0.0550935088176296,0.0808673585307204,0.105173282785153,0.118844216473184,0.166899974655005,0.163035998534827
IL,0.285197730327918,0.463507770170879,0.547995196303293,0.70646552906486,0.751534629241063,0.859659022898184,0.754538110458776,0.761330656101503,0.727910185649278,0.985146641832224,0.948853305370319,1.19101527975109
IN,0.330692752631826,0.384426123712641,0.720039452326976,0.665481256490213,0.717853040393471,0.743604417605054,0.681461551665216,0.630525108854531,0.650047349988083,0.507274336460239,0.574418461366726,0.635511330051392
KS,0.515975257579885,0.618704233395499,1.08886586550921,1.5459872200988,1.78861496186325,1.80255586500576,2.1552227611197,2.37338281067608,2.23879402407274,2.56706351845408,2.48744415709612,2.68603677890625
KY,1.01112263059877,0.625942742735347,1.04467459688418,0.819726188146284,0.842752734444092,0.912220899802421,0.738297572823546,0.707109534257014,0.655326997372253,0.476859188706347,0.612709333002104,0.605213470094464
LA,7.6177886917467,10.3295649586308,12.0035267399414,10.2710728548701,7.71729772212776,8.89490962593454,9.78977705847563,8.4547000187312,7.38878906166445,7.41745651685736,5.28272019528369,6.11850051009686
MA,0.0162249049533207,0.0134631228734948,0.0126929150563425,0.0405549969889558,0.0240636998998185,0.0317186958296531,0.0190365138235014,0.0253878473368623,0.0138081239189023,0.0228020720590047,0.019279264818021,0.0123027446015131
MD,0.0918334468441351,0.0424910429406688,0.0464787202045192,0.0505915252218874,0.0378735994581207,0.0336694089326391,0.0282270370011513,0.0216300887633094,0.0221892610633019,0.0132576956993064,0.0144093217010505,0.0085890226410578
ME,0.0198751605390158,0.0107591797188688,0.010872988595774,0.0187619663169192,0.0405312488298684,0.0252227020196246,0.0342542847246193,0.0069985045777972,0.0150584286534155,0.0355399870152093,0.0288505567975769,0.0148026705678335
MI,0.227971706841648,0.359235655090894,0.483159400827709,0.5664726602871,0.506498909561768,0.877712628828298,0.976117380697434,0.92210066129423,1.21416391697495,1.31479442457573,1.33631268459141,2.11548726932998
MN,2.14736187931195,1.46116281850485,2.58729800920787,1.77953355573828,1.10948665003731,1.08772059572406,1.93405925246223,1.76167359727977,1.62751371699289,1.72343175904912,1.69074710692977,2.16312223113578
MO,1.12783697941706,1.51819864830148,2.1058429525216,2.84496120120507,4.35277298890208,3.45129953587285,3.58506649790273,4.00277317372705,3.05976423326577,3.14248268093818,3.52696852066882,3.18976379725143
MS,0.567214394639074,0.562020595565129,0.798371497099436,1.13586829588786,1.06436135104839,0.978087480442906,0.771746564206072,1.088248973644,0.938600356962519,0.665954294733787,0.849976095989981,0.682873571961437
NC,0.119730177062548,0.084103132430359,0.117302135197421,0.0854394830639547,0.0568099517248509,0.0632215015053409,0.0594210442891337,0.0631190336180154,0.0663252185492469,0.0435809849089406,0.0329633199901317,0.0315153974298715
ND,0.390460906132484,0.480103479917081,1.11686936009411,1.34420732010451,1.50846733634993,2.3080515913727,3.74856128245197,4.79247752134368,5.06283829346845,5.90011634088809,6.84388510806393,8.40412859424363
NE,0.315504275404494,0.43115644774214,0.793740973804955,1.00344661620058,1.21099063389333,1.26103159729628,1.69091189011978,1.67697845453056,1.63484797360082,1.9731199188915,1.96811401754582,2.04068386777459
NH,0.0162249049533207,0.0101026220888065,0.0238519371896174,0.0405549969889558,0.0281629656620903,0.0317186958296531,0.0190365138235014,0.0253878473368623,0.0312832509183554,0.0478058469949738,0.0241880001026582,0.030630295528351
NJ,0.0348094114235165,0.0625876011017769,0.0360749763930231,0.126359898960933,0.0800625234145645,0.0442007676582379,0.117191459623344,0.0989502741142326,0.0671371111861692,0.0950995490575981,0.0906084859463222,0.125623042749237
NM,0.490792953263906,0.54327662600726,0.468499574155028,0.672323924631817,0.546626303681146,0.86773844777734,0.833314986448753,0.921644823719753,0.769820608414461,1.06999622703927,0.966993825011346,0.992909694277019
NV,0.541557118444303,0.671509703608109,0.739859765462602,0.810139699792536,0.927273810993274,1.07865005240775,1.0031251401053,1.19163876363822,0.0096965334678065,0.0116472288049808,0.0126667491680958,0.0129052401041729
NY,0.0348094114235165,0.0625876011017769,0.0360749763930231,0.126359898960933,0.0800625234145645,0.0646533436302886,0.117191459623344,0.0989502741142326,0.0671371111861692,0.102413102808258,0.0906084859463222,0.125623042749237
OH,1.01112263059877,0.384414900084456,0.697220167523082,0.61182403143962,0.468206356619865,0.371405342808192,0.276531005691038,0.28740321965359,0.290404597036432,0.173477909827499,0.137274872243855,0.108556277618547
OK,2.33433720024355,2.91014461410611,3.4142711342839,4.40296499451073,4.269128822133729,5.38560407190615,6.06460572246105,6.22749264359983,6.44213007935866,6.94431014788706,6.85603621525664,7.3660281083624
OR,1.70440100233728,1.45155895905879,1.68733507326168,1.87982065292276,2.22483330467755,2.12395312559582,2.22931543330121,2.31265255673701,2.32269095687055,1.79503075305833,2.11862286244203,2.1053840107303
PA,0.211747663737711,0.0833914196653797,0.148301389820949,0.123423650803593,0.139366264275906,0.113440261215267,0.0885528906722826,0.0754525239037006,0.0956837331313933,0.0528220068745297,0.0777421943605529,0.0648728569245041
RI,0.0086353503258033,0.0134631228734948,0.0080116038065835,0.013841904831628,0.0120244859082576,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791
SC,0.0699533955336897,0.0345243545842137,0.0854073946828612,0.0854394830639547,0.0320629232350844,0.0302568695875722,0.043624806667083,0.0492072121556487,0.0321937008575396,0.0193361982335824,0.0190114228016875,0.0207161510468318
TN,3.18784980505609,3.34553319958558,3.79764408690676,2.68377108409404,2.85688278683003,2.39979289922077,1.2247542365972,1.35913729857577,1.288708194955,0.836255352835377,1.13199074777488,0.9142505261864
TX,6.89193329205488,7.62376451126603,8.12290914772941,7.35002314459006,7.21114186822837,8.74442007865205,8.01822005821192,8.84389150666991,7.448715703734061,8.38780989453689,11.4401189764677,10.7830220663322
UT,0.43357204749063,0.487361721900462,0.657627311822071,0.937762191727909,1.25890851738283,1.84571415342253,2.32118407500809,2.91506271793468,2.59901307434529,3.16982278144943,3.64321884294397,3.91637669049248
VA,0.238774199254253,0.106219300889353,0.146904321166121,0.150640326204047,0.138502914759023,0.188784335477889,0.165656107219348,0.196111301681541,0.226166477926739,0.152007531790585,0.123811915727609,0.119410379894625
VT,0.0187569744015964,0.0210088834948284,0.0500746497756509,0.0405549969889558,0.0442080519265429,0.0549378328482864,0.0385900454309328,0.0435330651550764,0.0547174307703424,0.0712890195577641,0.041902435471012,0.0478040335887248
WA,0.415550788503122,0.344200590003815,0.461856474673179,0.587865474359481,0.719479145190019,1.17871364412958,1.46734218867293,1.8277438006181,1.9517815372118,1.62631430831013,1.75699962440288,1.79018661032894
WI,0.584599914559941,0.774343516089958,0.884016096117257,0.832459394359495,0.864729285113592,1.14410167365353,1.29112085988381,1.2630678237461,1.35559147827958,1.41334543349771,1.63166285563708,2.2135013224295
WV,0.332987946619238,0.1250780435349,0.209781337029713,0.247218740634497,0.215768421310846,0.23855997043947,0.22917510819296,0.254792657811894,0.257850143640628,0.209096491023651,0.108584471236445,0.12007867373945
WY,0.437687913224299,0.509883326421116,0.80934363277658,1.11146553555009,1.4282940791484,1.86529265267749,2.31727632939147,2.7444134748458,2.47691165740413,2.93187916509051,3.54879402758324,3.61104626827479
